                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 4.1027,                 3.5763,                 4.1934,                0.00246,                 0.1224,                0.00183,                0.00048,                 3.9566,                 3.6104,                 4.1444,              0.0032804,              0.0032804,              0.0032804
                      2,                 3.4252,                 2.9425,                 3.7699,                0.00392,                0.19484,                0.00454,                0.00123,                  3.783,                 3.4618,                 4.0151,              0.0066072,              0.0066072,              0.0066072
                      3,                 2.7694,                 2.5268,                 3.1673,                 0.2241,                0.27644,                0.14865,                0.04781,                 2.5027,                  3.017,                 3.0769,              0.0099274,              0.0099274,              0.0099274
                      4,                 2.4717,                 2.2761,                 2.8115,                 0.3051,                0.33963,                0.24188,                0.07579,                 2.4176,                 2.5102,                 2.8425,              0.0099703,              0.0099703,              0.0099703
                      5,                 2.2918,                 2.0897,                 2.5657,                0.41171,                0.36969,                0.32918,                0.11323,                 2.3059,                 2.4672,                 2.7169,              0.0099604,              0.0099604,              0.0099604
                      6,                 2.1301,                 1.9624,                 2.4137,                   0.42,                0.43532,                0.36894,                0.14789,                 2.0224,                 2.2192,                 2.4562,              0.0099505,              0.0099505,              0.0099505
                      7,                 1.9999,                 1.8531,                 2.2693,                0.48006,                0.44742,                0.43813,                0.18317,                 1.9788,                 1.9056,                 2.3959,              0.0099406,              0.0099406,              0.0099406
                      8,                 1.9381,                 1.7926,                  2.218,                0.45831,                0.44463,                0.42252,                0.18971,                 1.9474,                 1.9187,                 2.3276,              0.0099307,              0.0099307,              0.0099307
                      9,                  1.864,                 1.7306,                 2.1313,                0.52956,                 0.4796,                0.48214,                0.21763,                 1.9093,                 1.7635,                 2.2922,              0.0099208,              0.0099208,              0.0099208
                     10,                 1.8145,                 1.6748,                 2.0772,                0.48131,                0.41882,                0.41633,                0.17666,                 1.9149,                 1.9737,                 2.3289,              0.0099109,              0.0099109,              0.0099109
                     11,                  1.747,                 1.6115,                 2.0244,                0.48035,                0.45545,                 0.4363,                0.19098,                 1.8783,                 1.8287,                 2.2612,               0.009901,               0.009901,               0.009901
                     12,                 1.7126,                 1.5935,                 1.9897,                0.54492,                0.55704,                 0.5323,                0.25325,                 1.7554,                 1.6665,                 2.1686,              0.0098911,              0.0098911,              0.0098911
                     13,                 1.7014,                 1.5641,                  1.979,                0.51852,                0.52726,                0.52034,                0.26806,                 1.7158,                 1.6814,                 2.1226,              0.0098812,              0.0098812,              0.0098812
                     14,                 1.6731,                 1.5504,                 1.9643,                0.53648,                0.55606,                0.52615,                0.26761,                 1.6548,                 1.6831,                 2.0724,              0.0098713,              0.0098713,              0.0098713
                     15,                 1.6257,                 1.5223,                 1.9219,                 0.5357,                 0.5204,                0.51071,                0.25448,                 1.7055,                 1.7021,                 2.0945,              0.0098614,              0.0098614,              0.0098614
                     16,                 1.6182,                 1.4981,                 1.8967,                0.56654,                 0.5229,                0.53702,                0.27049,                  1.723,                 1.6328,                 2.1122,              0.0098515,              0.0098515,              0.0098515
                     17,                 1.6108,                 1.4868,                 1.8881,                0.56342,                0.54621,                0.55629,                 0.2876,                 1.6476,                 1.5587,                 2.0564,              0.0098416,              0.0098416,              0.0098416
                     18,                 1.5592,                 1.4457,                 1.8564,                0.55395,                0.57369,                0.55197,                 0.2754,                 1.6486,                 1.6032,                 2.0428,              0.0098317,              0.0098317,              0.0098317
                     19,                 1.5776,                 1.4342,                  1.853,                0.56683,                0.57619,                0.56447,                0.29402,                 1.6421,                 1.5675,                 2.0463,              0.0098218,              0.0098218,              0.0098218
                     20,                 1.5373,                 1.4116,                 1.8205,                0.57229,                0.57821,                0.57698,                0.30449,                 1.6205,                 1.5433,                 2.0164,              0.0098119,              0.0098119,              0.0098119
                     21,                 1.5295,                 1.4171,                 1.8281,                0.55162,                 0.5716,                0.57405,                0.30689,                 1.5978,                 1.5486,                 1.9861,               0.009802,               0.009802,               0.009802
                     22,                 1.5034,                 1.3595,                 1.7939,                0.57583,                0.57119,                0.57661,                0.29934,                  1.593,                 1.5566,                 2.0002,              0.0097921,              0.0097921,              0.0097921
                     23,                 1.4956,                 1.3617,                 1.7935,                0.57049,                 0.5945,                0.60233,                0.32202,                 1.5601,                 1.4888,                 1.9701,              0.0097822,              0.0097822,              0.0097822
                     24,                 1.4797,                 1.3439,                 1.7861,                0.56852,                0.58476,                0.59963,                0.32527,                 1.5652,                 1.4502,                 1.9798,              0.0097723,              0.0097723,              0.0097723
                     25,                 1.4741,                 1.3378,                 1.7792,                0.57553,                0.57351,                0.59934,                0.32098,                 1.5301,                 1.4964,                 1.9384,              0.0097624,              0.0097624,              0.0097624
