                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 4.1623,                 3.7041,                 4.2087,                0.00248,                0.11074,                0.00186,                0.00046,                 3.9568,                 3.7184,                  4.153,              0.0032804,              0.0032804,              0.0032804
                      2,                 4.1177,                 3.5489,                 4.1631,                0.00323,                 0.1607,                0.00238,                 0.0006,                  3.918,                 3.3979,                 4.1047,              0.0066072,              0.0066072,              0.0066072
                      3,                 3.9829,                 3.1986,                 3.9618,                  0.013,                0.02748,                0.00322,                0.00084,                 3.8806,                 22.144,                 6.3344,              0.0099274,              0.0099274,              0.0099274
                      4,                 3.7185,                 2.9788,                 3.5734,                0.00647,                 0.3214,                0.00523,                0.00128,                 3.6491,                 3.5112,                 3.9276,              0.0099703,              0.0099703,              0.0099703
                      5,                 3.1267,                   2.79,                 3.2303,                0.00972,                0.02831,                0.00712,                0.00236,                 4.3993,                  4.313,                 4.7715,              0.0099604,              0.0099604,              0.0099604
                      6,                 2.7181,                 2.5402,                 2.9345,                0.13711,                0.20566,                0.08255,                0.02416,                  2.691,                  4.536,                 2.9705,              0.0099505,              0.0099505,              0.0099505
                      7,                  2.461,                 2.3286,                 2.6825,                0.20401,                0.25396,                0.12814,                0.04262,                 2.5437,                 2.6491,                 2.8526,              0.0099406,              0.0099406,              0.0099406
                      8,                 2.3235,                 2.2258,                  2.553,                0.32864,                0.33472,                0.24281,                0.08609,                 2.3182,                 2.3079,                 2.6511,              0.0099307,              0.0099307,              0.0099307
                      9,                 2.2077,                 2.1022,                 2.4213,                0.38312,                0.39634,                0.30663,                0.11836,                 2.1665,                 2.3694,                 2.5199,              0.0099208,              0.0099208,              0.0099208
                     10,                 2.1183,                 2.0155,                 2.3231,                0.25958,                 0.3179,                0.19174,                0.06901,                  2.239,                 2.5385,                 2.5807,              0.0099109,              0.0099109,              0.0099109
                     11,                 2.0042,                 1.9269,                 2.2443,                0.42795,                0.39301,                0.37631,                0.15229,                  2.019,                 2.0896,                 2.3984,               0.009901,               0.009901,               0.009901
                     12,                 1.9486,                 1.8693,                 2.1782,                0.37873,                0.40883,                0.33878,                0.14244,                 1.9872,                 2.1078,                 2.3634,              0.0098911,              0.0098911,              0.0098911
                     13,                 1.9215,                  1.833,                 2.1439,                0.46135,                0.46794,                0.42457,                0.18927,                 1.8882,                 1.9181,                 2.2548,              0.0098812,              0.0098812,              0.0098812
                     14,                 1.8674,                 1.7971,                 2.1087,                0.46815,                0.49985,                0.45106,                0.20345,                 1.8443,                 1.8904,                  2.208,              0.0098713,              0.0098713,              0.0098713
                     15,                 1.8167,                 1.7542,                 2.0621,                 0.4828,                0.46211,                0.46955,                0.22999,                 1.7984,                 1.7998,                 2.1588,              0.0098614,              0.0098614,              0.0098614
                     16,                 1.7983,                 1.7182,                 2.0208,                0.41945,                0.45379,                0.40074,                0.18173,                 1.8502,                 2.0069,                 2.2206,              0.0098515,              0.0098515,              0.0098515
                     17,                 1.7688,                 1.7035,                 1.9967,                0.47856,                0.47877,                0.45012,                0.21197,                 1.8106,                 1.8601,                  2.165,              0.0098416,              0.0098416,              0.0098416
                     18,                 1.7214,                 1.6525,                 1.9618,                0.50924,                0.50958,                0.49448,                0.23053,                 1.7392,                 1.8277,                 2.1041,              0.0098317,              0.0098317,              0.0098317
                     19,                 1.7137,                 1.6276,                 1.9436,                0.51821,                0.48626,                0.49302,                0.24971,                 1.6897,                 1.7381,                 2.0552,              0.0098218,              0.0098218,              0.0098218
                     20,                 1.6737,                 1.5952,                 1.9075,                 0.5272,                 0.4796,                0.48376,                0.23886,                 1.7143,                 1.7649,                 2.0676,              0.0098119,              0.0098119,              0.0098119
                     21,                 1.6676,                 1.5912,                 1.9076,                 0.5276,                0.52873,                0.53123,                0.26841,                 1.6539,                 1.6784,                 2.0154,               0.009802,               0.009802,               0.009802
