                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 4.1419,                 3.7054,                 4.2029,                0.00241,                0.11324,                0.00181,                0.00043,                 3.9483,                 3.6703,                 4.1478,              0.0032804,              0.0032804,              0.0032804
                      2,                 4.0287,                 3.3448,                 4.0618,                 0.0042,                0.20899,                 0.0027,                0.00067,                 3.8505,                 3.5802,                 4.0806,              0.0066072,              0.0066072,              0.0066072
                      3,                 3.6443,                  3.013,                 3.7422,                0.00499,                0.24813,                0.00351,                0.00092,                 3.8639,                 4.2558,                 3.8842,              0.0099274,              0.0099274,              0.0099274
                      4,                 3.0852,                 2.7965,                 3.3118,                0.00176,                0.08743,                0.00097,                0.00029,                 3.7969,                    inf,                 3.9041,              0.0099703,              0.0099703,              0.0099703
                      5,                 2.7271,                 2.5207,                 2.9316,                0.18267,                0.15404,                0.08596,                0.02699,                 2.7454,                 3.5926,                 3.1145,              0.0099604,              0.0099604,              0.0099604
                      6,                  2.459,                 2.3606,                 2.7116,                0.23835,                0.25312,                0.15721,                 0.0498,                 2.4604,                 4.0119,                   2.81,              0.0099505,              0.0099505,              0.0099505
                      7,                 2.3116,                 2.1888,                 2.5409,                0.32543,                0.29642,                0.23208,                0.08213,                 2.2856,                 2.2873,                 2.6559,              0.0099406,              0.0099406,              0.0099406
                      8,                 2.2276,                 2.1331,                 2.4703,                0.30758,                0.37052,                0.25923,                0.09547,                  2.229,                  2.575,                 2.5526,              0.0099307,              0.0099307,              0.0099307
                      9,                 2.1508,                 2.0661,                 2.3779,                0.37142,                 0.4005,                0.32182,                 0.1226,                 2.1496,                 2.1541,                 2.5049,              0.0099208,              0.0099208,              0.0099208
                     10,                 2.0907,                  2.001,                 2.3151,                0.43183,                0.40133,                0.35932,                0.13991,                  2.057,                  2.207,                 2.4355,              0.0099109,              0.0099109,              0.0099109
                     11,                  1.986,                 1.9364,                  2.248,                0.38647,                0.37386,                0.32651,                0.12569,                 2.1225,                  2.124,                 2.5276,               0.009901,               0.009901,               0.009901
                     12,                 1.9663,                 1.9015,                 2.2137,                 0.4086,                0.45296,                0.39099,                0.16556,                 2.0478,                 1.9904,                 2.4211,              0.0098911,              0.0098911,              0.0098911
                     13,                 1.9578,                 1.8708,                 2.1896,                0.45543,                0.45462,                0.41045,                 0.1788,                 1.9189,                 1.9618,                 2.3025,              0.0098812,              0.0098812,              0.0098812
                     14,                 1.9063,                  1.852,                 2.1549,                0.45852,                0.46295,                0.40863,                0.18018,                 1.9188,                 1.9574,                 2.3001,              0.0098713,              0.0098713,              0.0098713
                     15,                 1.8743,                 1.8265,                 2.1307,                0.48138,                0.44879,                0.43252,                 0.1917,                   1.87,                 1.9701,                 2.2447,              0.0098614,              0.0098614,              0.0098614
                     16,                 1.8621,                 1.8099,                 2.0948,                0.50318,                0.45031,                0.44164,                 0.2025,                 1.8732,                 1.8833,                 2.2532,              0.0098515,              0.0098515,              0.0098515
                     17,                 1.8332,                 1.7899,                 2.0677,                0.54941,                0.43464,                0.47231,                0.22092,                 1.8016,                 1.8503,                  2.193,              0.0098416,              0.0098416,              0.0098416
                     18,                 1.7986,                 1.7657,                 2.0391,                0.50412,                0.48842,                0.46733,                 0.2234,                 1.7937,                 1.8247,                 2.1712,              0.0098317,              0.0098317,              0.0098317
                     19,                 1.8031,                 1.7448,                 2.0316,                0.49346,                0.46794,                0.45775,                0.22048,                 1.7705,                  1.837,                 2.1475,              0.0098218,              0.0098218,              0.0098218
                     20,                  1.771,                 1.7225,                      2,                0.51808,                0.46961,                0.47465,                0.22061,                 1.7994,                 1.8474,                  2.181,              0.0098119,              0.0098119,              0.0098119
                     21,                 1.7693,                 1.7239,                 2.0082,                0.52325,                0.46878,                0.47119,                0.22721,                 1.7056,                 1.8331,                 2.0926,               0.009802,               0.009802,               0.009802
                     22,                 1.7411,                 1.6757,                 1.9669,                0.51972,                0.49042,                0.48303,                0.22616,                 1.7796,                 1.8147,                 2.1332,              0.0097921,              0.0097921,              0.0097921
                     23,                  1.725,                 1.6812,                 1.9645,                0.52936,                0.47794,                0.47178,                0.22559,                 1.7462,                 1.8577,                 2.0945,              0.0097822,              0.0097822,              0.0097822
                     24,                 1.7052,                 1.6649,                 1.9503,                0.54768,                 0.4746,                0.48719,                0.24288,                 1.7345,                 1.7575,                 2.0745,              0.0097723,              0.0097723,              0.0097723
                     25,                  1.704,                 1.6615,                 1.9404,                 0.5218,                0.49126,                0.50738,                0.25582,                 1.6797,                 1.7205,                 2.0262,              0.0097624,              0.0097624,              0.0097624
                     26,                 1.7001,                 1.6311,                 1.9261,                0.55001,                0.48376,                0.51646,                 0.2642,                 1.6511,                 1.7316,                 2.0025,              0.0097525,              0.0097525,              0.0097525
