                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 4.1769,                 3.7712,                 4.2425,                0.00247,                0.10991,                0.00209,                 0.0005,                 3.9481,                 3.8101,                 4.1644,              0.0032804,              0.0032804,              0.0032804
                      2,                 4.1369,                 3.7662,                 4.2215,                0.00258,                0.11157,                0.00161,                0.00043,                   3.95,                 3.8264,                 4.2077,              0.0066072,              0.0066072,              0.0066072
                      3,                 4.1239,                 3.7317,                 4.2075,                0.00465,                0.04996,                0.00235,                0.00052,                    nan,                    nan,                    nan,              0.0099274,              0.0099274,              0.0099274
                      4,                 4.0892,                 3.4119,                 4.1175,                0.00352,                0.13405,                0.00265,                0.00068,                 3.9438,                    inf,                 58.356,              0.0099703,              0.0099703,              0.0099703
                      5,                  3.882,                 3.1307,                 3.7748,                0.00376,                0.03664,                0.00156,                0.00041,                  3.944,                    inf,                 25.907,              0.0099604,              0.0099604,              0.0099604
                      6,                 3.6068,                  3.094,                 3.4857,                0.02094,                0.02664,                 0.0059,                0.00181,                 3.6984,                 9.7674,                 5.4806,              0.0099505,              0.0099505,              0.0099505
                      7,                 3.3549,                 3.0344,                 3.2758,                0.02638,                0.05412,                 0.0078,                0.00199,                  3.399,                 3.9932,                 3.9771,              0.0099406,              0.0099406,              0.0099406
                      8,                 3.1367,                 2.9811,                 3.0617,                0.04324,                0.06994,                 0.0174,                0.00478,                 3.0625,                  4.087,                  3.191,              0.0099307,              0.0099307,              0.0099307
                      9,                 2.9542,                 2.8899,                  2.886,                0.11002,                0.12406,                0.04735,                0.01238,                 2.8633,                 3.6559,                  2.969,              0.0099208,              0.0099208,              0.0099208
                     10,                 2.8175,                 2.7626,                 2.7586,                 0.1924,                0.19067,                0.10748,                0.03203,                  2.639,                 3.0233,                 2.7368,              0.0099109,              0.0099109,              0.0099109
                     11,                 2.6327,                 2.5965,                  2.625,                0.26158,                0.24396,                0.14877,                0.04487,                 2.4981,                 2.6563,                 2.5751,               0.009901,               0.009901,               0.009901
                     12,                 2.5317,                 2.4907,                 2.5066,                0.19087,                0.15154,                0.07824,                0.02456,                 2.6578,                 2.9395,                 2.7271,              0.0098911,              0.0098911,              0.0098911
                     13,                 2.4529,                  2.385,                  2.422,                0.16676,                0.12906,                0.06328,                0.01991,                 2.8258,                 3.0873,                 2.8281,              0.0098812,              0.0098812,              0.0098812
                     14,                 2.3533,                 2.3087,                 2.3564,                0.31912,                0.30891,                0.23786,                0.08747,                  2.275,                 2.3912,                 2.3693,              0.0098713,              0.0098713,              0.0098713
                     15,                 2.2994,                 2.2618,                 2.2917,                 0.3602,                0.34888,                0.27395,                0.09972,                 2.2429,                 2.3453,                 2.3034,              0.0098614,              0.0098614,              0.0098614
                     16,                  2.244,                 2.2121,                 2.2251,                0.37319,                0.34638,                0.27958,                0.10421,                  2.193,                 2.2818,                 2.2537,              0.0098515,              0.0098515,              0.0098515
                     17,                 2.1903,                 2.1557,                 2.1851,                0.38125,                0.37136,                0.29379,                0.11036,                 2.1724,                 2.2501,                 2.2274,              0.0098416,              0.0098416,              0.0098416
                     18,                  2.132,                 2.0872,                 2.1286,                0.41187,                0.40716,                0.32897,                0.13305,                 2.1073,                 2.1597,                 2.1771,              0.0098317,              0.0098317,              0.0098317
                     19,                 2.1156,                 2.0696,                 2.1002,                0.34507,                0.32806,                 0.2427,                0.09152,                 2.2208,                 2.3668,                 2.2647,              0.0098218,              0.0098218,              0.0098218
                     20,                  2.077,                 2.0178,                 2.0601,                0.38541,                0.36655,                0.32175,                0.13255,                 2.0779,                 2.1694,                 2.1436,              0.0098119,              0.0098119,              0.0098119
                     21,                 2.0255,                 2.0069,                 2.0303,                0.45051,                0.39384,                0.37323,                0.15731,                   2.01,                 2.0763,                 2.0721,               0.009802,               0.009802,               0.009802
                     22,                 2.0065,                 1.9535,                 1.9942,                0.45738,                0.42391,                0.37772,                0.16451,                 1.9743,                 2.0256,                  2.023,              0.0097921,              0.0097921,              0.0097921
                     23,                 1.9855,                 1.9391,                 1.9788,                0.49342,                0.41799,                0.40124,                0.17815,                 1.9155,                 1.9413,                  1.964,              0.0097822,              0.0097822,              0.0097822
                     24,                 1.9634,                 1.9217,                 1.9528,                0.43135,                0.39051,                0.35137,                 0.1464,                 2.0437,                 2.0755,                 2.0911,              0.0097723,              0.0097723,              0.0097723
                     25,                 1.9362,                 1.9051,                 1.9277,                0.46031,                0.42397,                0.41086,                0.19023,                 1.8635,                 1.9526,                 1.9283,              0.0097624,              0.0097624,              0.0097624
                     26,                 1.9086,                 1.8798,                 1.9024,                0.46834,                0.42798,                0.39702,                0.19058,                 1.8298,                 1.9636,                 1.9097,              0.0097525,              0.0097525,              0.0097525
                     27,                 1.8864,                 1.8438,                 1.8814,                0.52814,                0.44796,                0.44963,                0.21993,                 1.7849,                  1.841,                 1.8676,              0.0097426,              0.0097426,              0.0097426
                     28,                  1.852,                 1.7963,                 1.8479,                0.49989,                0.42964,                0.42616,                0.19309,                 1.8958,                 1.9192,                  1.947,              0.0097327,              0.0097327,              0.0097327
                     29,                  1.845,                 1.8186,                  1.845,                0.52207,                0.48293,                0.47362,                0.23213,                 1.7484,                   1.79,                  1.813,              0.0097228,              0.0097228,              0.0097228
                     30,                 1.8191,                 1.7985,                 1.8278,                0.45816,                0.41632,                0.40313,                0.18147,                 1.8963,                 1.9387,                 1.9486,              0.0097129,              0.0097129,              0.0097129
                     31,                 1.8243,                 1.7678,                 1.8095,                0.46766,                0.45712,                0.43189,                0.20376,                 1.8339,                 1.8835,                 1.9028,               0.009703,               0.009703,               0.009703
                     32,                 1.7858,                 1.7648,                  1.786,                0.53866,                0.44429,                0.45933,                0.22659,                 1.7615,                 1.8442,                 1.8258,              0.0096931,              0.0096931,              0.0096931
                     33,                 1.7663,                 1.7203,                  1.765,                0.43667,                0.45462,                0.40838,                0.17677,                 1.9014,                 1.9361,                 1.9733,              0.0096832,              0.0096832,              0.0096832
                     34,                  1.763,                 1.7348,                 1.7713,                0.48768,                0.48348,                0.45449,                0.21151,                 1.7743,                 1.8145,                 1.8235,              0.0096733,              0.0096733,              0.0096733
                     35,                 1.7439,                 1.6906,                 1.7481,                0.46903,                0.43297,                0.41759,                0.19476,                 1.8203,                 1.9166,                 1.8948,              0.0096634,              0.0096634,              0.0096634
                     36,                 1.7435,                 1.7012,                 1.7424,                0.53534,                0.49126,                0.50484,                0.25763,                 1.6956,                  1.775,                 1.7514,              0.0096535,              0.0096535,              0.0096535
                     37,                 1.7418,                 1.7013,                 1.7553,                0.47887,                0.46545,                0.45983,                0.21672,                 1.8184,                 1.8371,                 1.8764,              0.0096436,              0.0096436,              0.0096436
                     38,                 1.6943,                 1.6496,                 1.7111,                0.50661,                0.46852,                0.48052,                0.23758,                 1.7041,                 1.7546,                 1.7679,              0.0096337,              0.0096337,              0.0096337
                     39,                 1.7051,                 1.6657,                 1.7188,                0.47294,                0.45352,                   0.43,                0.20614,                 1.7612,                 1.8913,                 1.8305,              0.0096238,              0.0096238,              0.0096238
                     40,                 1.7091,                 1.6598,                 1.7211,                  0.471,                 0.4771,                0.44819,                0.21797,                 1.7416,                 1.8527,                 1.8149,              0.0096139,              0.0096139,              0.0096139
                     41,                  1.692,                 1.6499,                  1.699,                0.57652,                0.50458,                  0.532,                0.27742,                 1.6525,                 1.6556,                 1.7176,               0.009604,               0.009604,               0.009604
                     42,                 1.6615,                 1.6308,                 1.6929,                0.54626,                 0.4746,                0.50299,                0.25057,                 1.7011,                 1.7681,                 1.7765,              0.0095941,              0.0095941,              0.0095941
                     43,                 1.6609,                 1.6098,                 1.6791,                0.54349,                0.46788,                0.49597,                0.25518,                 1.6783,                 1.7102,                 1.7505,              0.0095842,              0.0095842,              0.0095842
                     44,                  1.655,                 1.6056,                 1.6658,                0.56269,                0.50375,                0.52691,                0.27594,                 1.6124,                  1.663,                 1.6879,              0.0095743,              0.0095743,              0.0095743
                     45,                  1.631,                 1.5984,                 1.6624,                0.54533,                 0.5154,                0.51604,                0.27369,                  1.602,                 1.6514,                 1.6773,              0.0095644,              0.0095644,              0.0095644
                     46,                 1.6222,                 1.5832,                 1.6551,                0.52415,                0.52456,                0.51051,                0.26207,                  1.632,                  1.674,                  1.699,              0.0095545,              0.0095545,              0.0095545
                     47,                 1.6153,                 1.5688,                 1.6465,                0.52658,                 0.4771,                0.49964,                0.25747,                 1.6656,                 1.6725,                 1.7213,              0.0095446,              0.0095446,              0.0095446
                     48,                  1.624,                 1.5672,                 1.6351,                0.52667,                0.50307,                0.50503,                0.25713,                 1.6475,                 1.6978,                 1.7293,              0.0095347,              0.0095347,              0.0095347
                     49,                 1.6082,                 1.5457,                 1.6245,                0.52357,                0.47399,                0.48618,                0.24641,                 1.6776,                 1.7132,                  1.735,              0.0095248,              0.0095248,              0.0095248
                     50,                 1.6038,                 1.5491,                 1.6341,                0.49404,                 0.5154,                0.49181,                0.25651,                 1.6255,                 1.6649,                 1.6881,              0.0095149,              0.0095149,              0.0095149
                     51,                 1.5985,                  1.536,                  1.618,                0.53301,                0.48626,                0.50315,                0.25921,                  1.626,                 1.6836,                 1.7054,               0.009505,               0.009505,               0.009505
                     52,                 1.5964,                  1.528,                 1.6163,                0.52195,                0.54288,                0.53581,                0.29043,                 1.5847,                 1.5782,                 1.6466,              0.0094951,              0.0094951,              0.0094951
