                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 4.1521,                   3.65,                 4.1981,                0.00228,                0.11324,                0.00184,                0.00045,                 3.9449,                 3.6595,                 4.1447,              0.0032804,              0.0032804,              0.0032804
                      2,                 3.9433,                 3.1686,                 4.0602,                 0.0027,                0.13405,                0.00231,                0.00057,                 3.9081,                 3.4111,                 4.0991,              0.0066072,              0.0066072,              0.0066072
                      3,                 3.2793,                 2.8361,                 3.6061,                0.05317,                0.09492,                0.02298,                0.00624,                 3.0769,                 3.2115,                 3.4763,              0.0099274,              0.0099274,              0.0099274
                      4,                 2.7537,                 2.5385,                 3.0525,                  0.134,                0.22065,                0.08119,                0.02042,                 2.6985,                 3.4095,                 3.1366,              0.0099703,              0.0099703,              0.0099703
                      5,                 2.5036,                 2.2935,                 2.7273,                0.27497,                0.32999,                0.20301,                0.07067,                 2.4222,                 2.9669,                 2.7858,              0.0099604,              0.0099604,              0.0099604
                      6,                 2.2878,                 2.1639,                 2.5399,                0.30966,                0.34555,                0.25715,                0.09408,                 2.2879,                 2.7105,                 2.6513,              0.0099505,              0.0099505,              0.0099505
                      7,                 2.1459,                 2.0053,                 2.3833,                0.36572,                0.36631,                0.30888,                 0.1145,                  2.166,                 2.1518,                 2.5284,              0.0099406,              0.0099406,              0.0099406
                      8,                 2.0685,                 1.9411,                 2.3159,                0.43183,                0.39967,                0.37919,                0.16173,                 2.0894,                 2.1349,                 2.4153,              0.0099307,              0.0099307,              0.0099307
                      9,                 1.9983,                 1.8711,                 2.2277,                0.46845,                 0.4711,                0.43652,                0.18522,                 1.9677,                 1.9175,                 2.3215,              0.0099208,              0.0099208,              0.0099208
                     10,                 1.9376,                 1.8091,                 2.1713,                0.46045,                0.44047,                0.39987,                0.16693,                 1.9463,                 1.9516,                 2.3009,              0.0099109,              0.0099109,              0.0099109
                     11,                 1.8499,                 1.7595,                 2.0992,                0.42791,                0.43464,                0.39655,                0.16364,                 2.0173,                 1.9894,                 2.3885,               0.009901,               0.009901,               0.009901
                     12,                 1.8246,                 1.7226,                 2.0708,                0.50956,                0.49709,                0.47961,                 0.2257,                 1.8273,                 1.7771,                 2.1924,              0.0098911,              0.0098911,              0.0098911
                     13,                 1.8178,                 1.6954,                 2.0574,                0.47766,                0.50125,                0.48184,                0.22526,                  1.825,                 1.7963,                 2.2096,              0.0098812,              0.0098812,              0.0098812
                     14,                 1.7707,                 1.6738,                 2.0295,                0.51637,                0.50042,                0.49009,                0.23905,                  1.764,                 1.7525,                 2.1259,              0.0098713,              0.0098713,              0.0098713
                     15,                 1.7239,                 1.6544,                  1.992,                0.53035,                0.48422,                0.48881,                0.23172,                 1.7651,                  1.771,                 2.1071,              0.0098614,              0.0098614,              0.0098614
                     16,                  1.717,                 1.6332,                 1.9633,                0.53647,                0.48664,                0.49939,                0.23937,                 1.7336,                 1.7561,                 2.0879,              0.0098515,              0.0098515,              0.0098515
                     17,                  1.703,                 1.6214,                 1.9495,                0.51943,                0.50708,                0.50757,                0.25667,                  1.706,                 1.7299,                 2.0643,              0.0098416,              0.0098416,              0.0098416
                     18,                 1.6559,                 1.5764,                 1.9187,                0.54649,                0.50624,                0.50672,                 0.2524,                 1.7079,                 1.6771,                 2.0589,              0.0098317,              0.0098317,              0.0098317
                     19,                 1.6681,                 1.5744,                 1.9112,                0.56309,                0.50375,                0.54444,                0.27974,                 1.6717,                 1.6498,                 2.0099,              0.0098218,              0.0098218,              0.0098218
                     20,                 1.6211,                 1.5438,                 1.8781,                 0.5543,                0.54954,                0.55162,                0.28296,                 1.6437,                 1.6267,                 2.0111,              0.0098119,              0.0098119,              0.0098119
                     21,                 1.6336,                 1.5525,                 1.8931,                0.54721,                0.55454,                0.55738,                0.29331,                 1.6059,                  1.677,                 1.9577,               0.009802,               0.009802,               0.009802
                     22,                  1.594,                 1.5001,                 1.8451,                0.52504,                0.57252,                0.55105,                0.27115,                 1.6731,                 1.6588,                 2.0298,              0.0097921,              0.0097921,              0.0097921
                     23,                 1.5862,                  1.501,                 1.8492,                0.53421,                0.55204,                0.54464,                0.27261,                 1.6342,                 1.6625,                 1.9801,              0.0097822,              0.0097822,              0.0097822
                     24,                 1.5838,                 1.4897,                  1.843,                0.55547,                0.55787,                0.56107,                0.29241,                  1.645,                 1.5664,                 1.9651,              0.0097723,              0.0097723,              0.0097723
                     25,                  1.572,                  1.481,                 1.8351,                0.59782,                0.52873,                0.57822,                0.29877,                 1.6062,                  1.551,                 1.9609,              0.0097624,              0.0097624,              0.0097624
                     26,                 1.5542,                 1.4607,                 1.8094,                 0.5579,                0.55787,                0.56693,                0.29273,                 1.6374,                 1.5714,                 1.9874,              0.0097525,              0.0097525,              0.0097525
                     27,                 1.5426,                 1.4416,                 1.8015,                0.57122,                0.58201,                 0.5893,                0.32209,                 1.5537,                 1.5058,                 1.9113,              0.0097426,              0.0097426,              0.0097426
                     28,                 1.5302,                 1.4246,                  1.798,                0.55755,                0.52623,                0.52304,                 0.2712,                 1.6806,                   1.57,                 2.0398,              0.0097327,              0.0097327,              0.0097327
                     29,                 1.5268,                  1.438,                 1.8007,                0.52503,                0.58261,                0.54379,                0.29179,                 1.5742,                 1.5237,                 1.9283,              0.0097228,              0.0097228,              0.0097228
                     30,                 1.5097,                 1.4388,                 1.7763,                0.57689,                 0.5612,                0.57458,                0.29588,                 1.5932,                 1.5204,                 1.9557,              0.0097129,              0.0097129,              0.0097129
                     31,                  1.498,                 1.3841,                 1.7503,                0.59128,                0.57452,                0.59236,                0.32464,                 1.5249,                 1.5166,                 1.8858,               0.009703,               0.009703,               0.009703
                     32,                 1.4881,                 1.4053,                 1.7592,                0.59769,                 0.5381,                0.56116,                0.29743,                 1.5626,                 1.5324,                 1.9295,              0.0096931,              0.0096931,              0.0096931
                     33,                 1.4787,                 1.3712,                 1.7337,                0.59907,                0.58868,                0.58708,                0.31168,                 1.5647,                 1.4819,                 1.9331,              0.0096832,              0.0096832,              0.0096832
